seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s,analytic_plan_generated,analytic_plan_certified,analytic_plan_selected,analytic_plan_fallbacks,analytic_estimated_saving_s
74,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,4521.257003424814,282.57856271405086,17521.285017124075,158,19,3,138,True,3.7566460999951232,2,2,2,0,62.29224237653558
75,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6784.146377997894,521.8574136921457,25230.731889989478,283,14,1,255,True,3.172273900010623,4,4,4,0,48.144284896163384
76,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6823.124620552206,568.5937183793504,25675.62310276104,268,28,16,240,True,2.748311500006821,2,2,2,0,616.7015180626389
77,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,4249.923144733903,265.62019654586896,17659.615723669514,109,16,0,93,True,3.2150345999980345,1,1,1,0,1.1064072288781084
78,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6922.616333301531,432.6635208313457,26008.081666507645,231,109,93,207,True,3.691899600002216,10,10,10,0,737.6156875372213
79,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6774.952320230802,615.9047563846184,25079.761601154012,288,11,0,264,True,2.2231709999905434,1,1,1,0,10.705574629547176
80,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8074.762408159271,672.896867346606,31118.812040796387,292,35,23,262,True,2.476878499990562,8,8,8,0,1555.3584333904444
81,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6870.239571900232,490.73139799287367,25846.197859501153,273,21,7,245,True,2.583828100003302,6,6,6,0,96.64115116860772
82,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7863.37307655903,714.8520978690027,28701.86538279515,339,31,20,313,True,2.748530600016238,6,6,6,0,643.1279508605046
83,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7703.856469402155,592.6043438001658,28869.282347010754,279,85,72,254,True,3.036907500005327,5,5,5,0,909.555643349805
84,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6368.250567335929,424.55003782239527,24726.25283667965,229,15,0,203,True,2.728374400001485,1,1,1,0,16.54534613912177
85,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7406.64020661709,673.330927874281,27893.201033085457,290,29,18,269,True,2.3384391000145115,5,5,5,0,1123.6081437119788
86,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,3926.6987272876895,245.4186704554806,15773.493636438452,118,17,1,99,True,3.8593818000226747,2,2,2,0,18.860121914453774
87,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7446.193086063315,676.9266441875741,27425.96543031658,317,20,9,294,True,2.2276229999843054,3,3,3,0,71.8131388329987
88,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7849.248038102409,603.7883106232622,30341.240190512017,282,31,18,252,True,2.863347300008172,7,7,6,0,962.4811166727349
89,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6897.754747886831,689.7754747886831,24583.773739434164,325,12,2,300,True,1.9207378999853972,3,3,3,0,33.090361423414244
90,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7836.8254791506015,712.438679922782,28359.12739575308,321,81,70,295,True,2.6737889999931213,4,4,4,0,382.0963917174151
91,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7331.07957151008,733.107957151008,26800.397857550408,322,15,5,296,True,2.030129799997667,4,4,4,0,66.64696636974728
92,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7043.8301349283665,541.8330873021821,26744.15067464183,275,15,2,249,True,3.0845170999818947,3,3,3,0,37.41002275372923
93,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6998.863845858193,437.42899036613704,28479.31922929097,194,45,29,166,True,3.5606331000162754,5,5,5,0,1236.1584971244597
94,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6443.440936514238,460.24578117958845,24922.204682571213,236,14,0,209,True,3.3677477999881376,3,3,3,0,43.099084213678736
95,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,5643.278206090739,352.7048878806712,22561.391030453728,174,25,9,154,True,3.9814596000069287,2,2,2,0,348.3369489706489
96,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6113.654244702607,509.4711870585506,22398.271223513035,266,13,1,241,True,2.4315666999900714,1,1,1,0,2.6635795787321896
97,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7254.802957289313,659.5275415717557,27494.014786446565,281,25,14,254,True,2.282681400014553,2,2,2,0,590.9971124377122
98,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6372.058245136116,531.004853761343,23705.291225680583,266,12,0,241,True,2.747800700017251,1,1,1,0,10.029779522139265
99,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8456.943893452355,650.5341456501811,32339.719467261777,290,83,70,264,True,3.337792200007243,5,5,5,0,932.8707948768434
